file,vertices
np_training_files/TROPOMISO2_20200627T012425__SAA=-164_SZA=32.npy,"[[(48, 198), (34, 196), (29, 191), (28, 187), (24, 182), (18, 180), (18, 175), (24, 174), (28, 176), (32, 182), (39, 186), (41, 189), (44, 189), (45, 187), (52, 185), (61, 187), (59, 188), (61, 190), (54, 197), (48, 198)], [(92, 234), (81, 233), (75, 227), (71, 227), (69, 226), (70, 214), (72, 213), (72, 206), (70, 205), (70, 201), (72, 200), (73, 197), (76, 196), (83, 206), (84, 213), (87, 217), (87, 222), (98, 224), (101, 228), (99, 233), (92, 234)], [(325, 91), (324, 90), (321, 90), (319, 88), (319, 85), (322, 86), (325, 86), (327, 89)]]"
np_training_files/TROPOMISO2_20220813T001718__SAA=-175_SZA=48.npy,[]
np_training_files/TROPOMISO2_20220625T021149__SAA=-147_SZA=23.npy,"[[(213, 351), (208, 350), (207, 348), (203, 347), (202, 344), (208, 340), (222, 340), (224, 337), (226, 337), (227, 333), (229, 332), (230, 329), (229, 324), (227, 323), (226, 302), (233, 299), (240, 293), (242, 279), (245, 275), (246, 261), (248, 260), (249, 247), (251, 246), (251, 239), (255, 237), (256, 225), (260, 223), (260, 217), (262, 216), (262, 212), (266, 209), (267, 192), (270, 190), (268, 189), (270, 187), (270, 181), (273, 178), (275, 170), (279, 165), (282, 165), (283, 167), (290, 169), (292, 171), (295, 176), (295, 179), (293, 180), (293, 193), (288, 203), (288, 209), (285, 212), (284, 218), (282, 219), (282, 226), (277, 235), (277, 241), (271, 249), (271, 255), (268, 258), (268, 296), (270, 297), (270, 301), (268, 302), (268, 328), (264, 351)]]"
np_training_files/TROPOMISO2_20210627T003705__SAA=-153_SZA=25.npy,"[[(230, 69), (224, 68), (223, 59), (224, 29), (227, 28), (228, 26), (233, 29), (231, 30), (233, 32), (233, 35), (230, 37), (230, 48), (231, 54), (233, 55), (231, 56), (230, 69)], [(230, 167), (227, 167), (227, 162), (224, 161), (226, 159), (224, 158), (224, 148), (222, 143), (224, 138), (224, 113), (226, 112), (228, 103), (233, 109), (233, 160), (231, 161), (230, 167)], [(230, 245), (227, 245), (226, 238), (224, 237), (223, 226), (224, 214), (226, 213), (224, 212), (226, 211), (226, 202), (224, 201), (224, 199), (227, 197), (227, 186), (225, 185), (224, 183), (227, 180), (229, 181), (231, 192), (230, 205), (233, 209), (233, 213), (235, 216), (233, 244), (230, 245)]]"
np_training_files/TROPOMISO2_20220630T003649__SAA=-149_SZA=23.npy,"[[(154, 337), (153, 335), (150, 333), (150, 330), (154, 326), (157, 326), (158, 328), (161, 329), (161, 334), (158, 334), (154, 337)], [(179, 326), (182, 325), (188, 328), (196, 332), (201, 334), (201, 337), (198, 337), (188, 333), (184, 330), (180, 328)]]"
np_training_files/TROPOMISO2_20220522T010901__SAA=-150_SZA=27.npy,[]
np_training_files/TROPOMISO2_20210529T232201__SAA=-156_SZA=29.npy,[]
np_training_files/TROPOMISO2_20220406T003521__SAA=-170_SZA=52.npy,[]
np_training_files/TROPOMISO2_20220419T233344__SAA=-175_SZA=53.npy,[]
np_training_files/TROPOMISO2_20200926T011837__SAA=-167_SZA=59.npy,[]
np_training_files/TROPOMISO2_20220307T013657__SAA=-170_SZA=57.npy,[]
